time,open,high,low,close,tick_volume,spread,real_volume
2026-02-13 16:19:00,1.18705,1.18706,1.18686,1.18693,74,0,0
2026-02-13 16:20:00,1.18695,1.18696,1.18669,1.18675,78,0,0
2026-02-13 16:21:00,1.18675,1.1868400000000001,1.18662,1.18673,77,0,0
2026-02-13 16:22:00,1.18673,1.18678,1.18642,1.18647,67,0,0
2026-02-13 16:23:00,1.18647,1.18659,1.18642,1.18649,71,0,0
2026-02-13 16:24:00,1.1865,1.18655,1.1864,1.18643,60,0,0
2026-02-13 16:25:00,1.18643,1.18659,1.18639,1.18659,85,0,0
2026-02-13 16:26:00,1.1865999999999999,1.18693,1.18659,1.18689,83,0,0
2026-02-13 16:27:00,1.1869,1.18696,1.18681,1.18691,57,0,0
2026-02-13 16:28:00,1.18691,1.18714,1.1868400000000001,1.18707,61,0,0
2026-02-13 16:29:00,1.18707,1.18709,1.18672,1.18682,61,0,0
2026-02-13 16:30:00,1.18682,1.18683,1.18656,1.18666,96,0,0
2026-02-13 16:31:00,1.18669,1.18692,1.1864,1.18689,121,0,0
2026-02-13 16:32:00,1.18689,1.1871,1.18685,1.18709,144,0,0
2026-02-13 16:33:00,1.18709,1.18713,1.18693,1.18711,113,0,0
2026-02-13 16:34:00,1.1871,1.18716,1.18692,1.18695,115,0,0
2026-02-13 16:35:00,1.18695,1.18698,1.18659,1.18674,133,0,0
2026-02-13 16:36:00,1.18675,1.18695,1.18673,1.1869,106,0,0
2026-02-13 16:37:00,1.1869,1.18705,1.18668,1.18669,131,0,0
2026-02-13 16:38:00,1.18669,1.18678,1.1865999999999999,1.1867,117,0,0
2026-02-13 16:39:00,1.1867,1.1868400000000001,1.18659,1.1865999999999999,94,0,0
2026-02-13 16:40:00,1.18661,1.18666,1.18621,1.1863,151,0,0
2026-02-13 16:41:00,1.1863,1.18647,1.18614,1.18624,125,0,0
2026-02-13 16:42:00,1.18624,1.1863299999999999,1.18615,1.1863,153,0,0
2026-02-13 16:43:00,1.1863,1.1867,1.18614,1.1867,157,0,0
2026-02-13 16:44:00,1.18671,1.1868400000000001,1.18661,1.18679,109,0,0
2026-02-13 16:45:00,1.18679,1.1869,1.18669,1.18669,125,0,0
2026-02-13 16:46:00,1.18669,1.18686,1.18669,1.18681,108,0,0
2026-02-13 16:47:00,1.18677,1.18696,1.18673,1.18677,108,0,0
2026-02-13 16:48:00,1.18676,1.18683,1.1867,1.1867,80,0,0
2026-02-13 16:49:00,1.1867,1.18683,1.18643,1.18653,109,0,0
2026-02-13 16:50:00,1.18652,1.18652,1.18636,1.18641,118,0,0
2026-02-13 16:51:00,1.18641,1.18654,1.18626,1.18646,77,0,0
2026-02-13 16:52:00,1.18646,1.18651,1.18624,1.18629,90,0,0
2026-02-13 16:53:00,1.18629,1.18634,1.18602,1.18603,112,0,0
2026-02-13 16:54:00,1.18602,1.18609,1.18586,1.18595,120,0,0
2026-02-13 16:55:00,1.18595,1.18626,1.18595,1.18609,139,0,0
2026-02-13 16:56:00,1.18609,1.18615,1.18576,1.18577,138,0,0
2026-02-13 16:57:00,1.18578,1.18581,1.1857,1.18577,137,0,0
2026-02-13 16:58:00,1.18577,1.18601,1.18576,1.18598,132,0,0
2026-02-13 16:59:00,1.1859899999999999,1.18606,1.18589,1.18591,147,0,0
2026-02-13 17:00:00,1.18593,1.1861,1.18577,1.18602,159,0,0
2026-02-13 17:01:00,1.18603,1.18614,1.18596,1.18614,121,0,0
2026-02-13 17:02:00,1.18615,1.18628,1.18612,1.18624,94,0,0
2026-02-13 17:03:00,1.18624,1.18642,1.18616,1.18622,110,0,0
2026-02-13 17:04:00,1.18621,1.18637,1.18618,1.18631,110,0,0
2026-02-13 17:05:00,1.1863,1.18632,1.18603,1.1862300000000001,129,0,0
2026-02-13 17:06:00,1.1862300000000001,1.18652,1.1862,1.18652,95,0,0
2026-02-13 17:07:00,1.1865,1.18662,1.18636,1.18647,106,0,0
2026-02-13 17:08:00,1.18647,1.18666,1.18641,1.1865999999999999,105,0,0
2026-02-13 17:09:00,1.1865700000000001,1.18681,1.18654,1.18679,116,0,0
2026-02-13 17:10:00,1.18679,1.18695,1.18676,1.18687,126,0,0
2026-02-13 17:11:00,1.18686,1.18696,1.18677,1.18689,107,0,0
2026-02-13 17:12:00,1.18689,1.187,1.18682,1.187,89,0,0
2026-02-13 17:13:00,1.187,1.18708,1.1869,1.18692,64,0,0
2026-02-13 17:14:00,1.1869399999999999,1.18701,1.18686,1.18699,94,0,0
2026-02-13 17:15:00,1.18699,1.18708,1.18691,1.18691,85,0,0
2026-02-13 17:16:00,1.18687,1.18699,1.18659,1.1865999999999999,102,0,0
2026-02-13 17:17:00,1.18658,1.18659,1.1863,1.18632,99,0,0
2026-02-13 17:18:00,1.18632,1.18632,1.18606,1.18618,93,0,0
2026-02-13 17:19:00,1.18619,1.18635,1.18619,1.18631,69,0,0
2026-02-13 17:20:00,1.1863,1.18649,1.1863,1.18635,113,0,0
2026-02-13 17:21:00,1.18634,1.18636,1.18625,1.18634,80,0,0
2026-02-13 17:22:00,1.18634,1.18647,1.1863,1.18641,111,0,0
2026-02-13 17:23:00,1.18641,1.18645,1.18636,1.18643,93,0,0
2026-02-13 17:24:00,1.18643,1.18655,1.18639,1.18654,86,0,0
2026-02-13 17:25:00,1.18654,1.18655,1.18638,1.1864,91,0,0
2026-02-13 17:26:00,1.1864,1.18655,1.18634,1.18655,94,0,0
2026-02-13 17:27:00,1.18654,1.18669,1.18649,1.18666,85,0,0
2026-02-13 17:28:00,1.18666,1.18679,1.1865999999999999,1.18676,78,0,0
2026-02-13 17:29:00,1.18676,1.18678,1.18654,1.18656,120,0,0
2026-02-13 17:30:00,1.18656,1.18656,1.1863299999999999,1.1863299999999999,54,0,0
2026-02-13 17:31:00,1.1863299999999999,1.18644,1.18627,1.18631,85,0,0
2026-02-13 17:32:00,1.18631,1.18646,1.18631,1.18636,64,0,0
2026-02-13 17:33:00,1.18636,1.18641,1.18625,1.1864,75,0,0
2026-02-13 17:34:00,1.1864,1.18655,1.18632,1.18632,78,0,0
2026-02-13 17:35:00,1.18632,1.18649,1.18629,1.18645,59,0,0
